Date,Price_g,Price_oz
2011-01-03,"3,240.23","100,782"
2011-01-04,"3,218.40","100,103"
2011-01-05,"3,227.90","100,399"
2011-01-06,"3,212.22","99,911"
2011-01-07,"3,217.19","100,066"
2011-01-10,"3,205.83","99,712"
2011-01-11,"3,207.11","99,752"
2011-01-12,"3,179.01","98,878"
2011-01-13,"3,154.59","98,119"
2011-01-14,"3,170.00","98,598"
2011-01-17,"3,204.33","99,666"
2011-01-18,"3,198.48","99,484"
2011-01-19,"3,204.07","99,658"
2011-01-20,"3,164.82","98,437"
2011-01-21,"3,126.13","97,234"
2011-01-24,"3,124.92","97,196"
2011-01-25,"3,125.99","97,229"
2011-01-26,"3,158.04","98,226"
2011-01-27,"3,084.11","95,926"
2011-01-28,"3,170.33","98,608"
2011-01-31,"3,141.35","97,707"
2011-02-01,"3,143.14","97,763"
2011-02-02,"3,136.25","97,548"
2011-02-03,"3,200.20","99,537"
2011-02-04,"3,179.79","98,903"
2011-02-07,"3,150.72","97,998"
2011-02-08,"3,181.78","98,964"
2011-02-09,"3,169.94","98,596"
2011-02-10,"3,218.57","100,109"
2011-02-11,"3,181.32","98,950"
2011-02-14,"3,174.39","98,735"
2011-02-15,"3,225.00","100,309"
2011-02-16,"3,180.69","98,930"
2011-02-17,"3,215.06","100,000"
2011-02-18,"3,194.44","99,358"
2011-02-21,"3,259.06","101,368"
2011-02-22,"3,261.61","101,448"
2011-02-23,"3,272.71","101,793"
2011-02-24,"3,273.46","101,816"
2011-02-25,"3,287.49","102,252"
2011-02-28,"3,291.26","102,370"
2011-03-01,"3,327.72","103,504"
2011-03-02,"3,305.03","102,798"
2011-03-03,"3,255.53","101,258"
2011-03-04,"3,300.75","102,665"
2011-03-07,"3,333.09","103,671"
2011-03-08,"3,319.42","103,246"
2011-03-09,"3,316.09","103,142"
2011-03-10,"3,290.54","102,347"
2011-03-11,"3,268.71","101,668"
2011-03-14,"3,299.34","102,621"
2011-03-15,"3,218.31","100,101"
2011-03-16,"3,235.21","100,626"
2011-03-17,"3,263.68","101,512"
2011-03-18,"3,283.30","102,122"
2011-03-21,"3,290.83","102,356"
2011-03-22,"3,314.29","103,086"
2011-03-23,"3,329.26","103,551"
2011-03-24,"3,285.95","102,205"
2011-03-25,"3,302.35","102,715"
2011-03-28,"3,275.56","101,881"
2011-03-29,"3,250.89","101,114"
2011-03-30,"3,271.63","101,759"
2011-03-31,"3,288.76","102,292"
2011-04-01,"3,259.84","101,392"
2011-04-04,"3,289.74","102,322"
2011-04-05,"3,309.96","102,951"
2011-04-06,"3,308.33","102,901"
2011-04-07,"3,302.07","102,706"
2011-04-08,"3,330.71","103,597"
2011-04-11,"3,346.48","104,087"
2011-04-12,"3,314.48","103,092"
2011-04-13,"3,342.43","103,961"
2011-04-14,"3,361.24","104,546"
2011-04-15,"3,398.33","105,700"
2011-04-18,"3,436.47","106,886"
2011-04-19,"3,406.01","105,939"
2011-04-20,"3,422.57","106,454"
2011-04-21,"3,438.75","106,957"
2011-04-22,"3,447.53","107,230"
2011-04-25,"3,437.48","106,918"
2011-04-26,"3,441.12","107,031"
2011-04-27,"3,476.12","108,119"
2011-04-28,"3,510.42","109,186"
2011-04-29,"3,569.01","111,009"
2011-05-02,"3,512.04","109,237"
2011-05-03,"3,507.16","109,085"
2011-05-04,"3,476.63","108,135"
2011-05-05,"3,461.33","107,659"
2011-05-06,"3,492.12","108,617"
2011-05-09,"3,479.91","108,237"
2011-05-10,"3,477.60","108,165"
2011-05-11,"3,491.22","108,589"
2011-05-12,"3,466.19","107,810"
2011-05-13,"3,489.09","108,523"
2011-05-16,"3,449.97","107,306"
2011-05-17,"3,447.73","107,236"
2011-05-18,"3,462.90","107,708"
2011-05-19,"3,455.82","107,488"
2011-05-20,"3,519.84","109,479"
2011-05-23,"3,525.79","109,664"
2011-05-24,"3,550.72","110,440"
2011-05-25,"3,561.13","110,764"
2011-05-26,"3,557.51","110,651"
2011-05-27,"3,547.56","110,341"
2011-05-30,"3,564.05","110,854"
2011-05-31,"3,561.35","110,770"
2011-06-01,"3,565.30","110,893"
2011-06-02,"3,532.75","109,881"
2011-06-03,"3,528.59","109,751"
2011-06-06,"3,558.88","110,694"
2011-06-07,"3,546.95","110,323"
2011-06-08,"3,534.89","109,948"
2011-06-09,"3,574.12","111,168"
2011-06-10,"3,553.61","110,530"
2011-06-13,"3,493.24","108,652"
2011-06-14,"3,507.64","109,100"
2011-06-15,"3,557.31","110,645"
2011-06-16,"3,507.16","109,085"
2011-06-17,"3,553.68","110,532"
2011-06-20,"3,549.94","110,416"
2011-06-21,"3,559.86","110,724"
2011-06-22,"3,582.02","111,413"
2011-06-23,"3,508.86","109,138"
2011-06-24,"3,483.81","108,359"
2011-06-27,"3,453.25","107,408"
2011-06-28,"3,456.66","107,514"
2011-06-29,"3,489.22","108,527"
2011-06-30,"3,447.99","107,244"
2011-07-01,"3,397.83","105,684"
2011-07-04,"3,406.14","105,943"
2011-07-05,"3,468.20","107,873"
2011-07-06,"3,503.25","108,963"
2011-07-07,"3,483.82","108,359"
2011-07-08,"3,527.31","109,712"
2011-07-11,"3,566.61","110,934"
2011-07-12,"3,594.58","111,804"
2011-07-13,"3,583.93","111,473"
2011-07-14,"3,649.86","113,523"
2011-07-15,"3,660.31","113,848"
2011-07-18,"3,665.35","114,005"
2011-07-19,"3,640.80","113,241"
2011-07-20,"3,667.96","114,086"
2011-07-21,"3,579.21","111,326"
2011-07-22,"3,669.77","114,143"
2011-07-24,"3,657.63","113,765"
2011-07-25,"3,689.65","114,761"
2011-07-26,"3,672.39","114,224"
2011-07-27,"3,664.39","113,975"
2011-07-28,"3,655.27","113,691"
2011-07-29,"3,662.96","113,931"
2011-08-01,"3,719.59","115,692"
2011-08-02,"3,781.11","117,606"
2011-08-03,"3,782.70","117,655"
2011-08-04,"3,823.05","118,910"
2011-08-05,"3,801.19","118,230"
2011-08-08,"4,006.91","124,629"
2011-08-09,"4,008.04","124,664"
2011-08-10,"4,245.92","132,063"
2011-08-11,"4,097.56","127,448"
2011-08-12,"4,081.07","126,935"
2011-08-15,"4,073.83","126,710"
2011-08-16,"4,141.88","128,827"
2011-08-17,"4,193.20","130,423"
2011-08-18,"4,302.81","133,832"
2011-08-19,"4,334.58","134,821"
2011-08-22,"4,484.33","139,478"
2011-08-23,"4,300.82","133,770"
2011-08-24,"4,157.65","129,317"
2011-08-25,"4,207.44","130,866"
2011-08-26,"4,322.87","134,456"
2011-08-29,"4,235.02","131,724"
2011-08-30,"4,347.14","135,211"
2011-08-31,"4,295.09","133,592"
2011-09-01,"4,287.72","133,363"
2011-09-02,"4,457.80","138,653"
2011-09-04,"4,493.05","139,750"
2011-09-05,"4,510.28","140,285"
2011-09-06,"4,491.10","139,689"
2011-09-07,"4,302.66","133,828"
2011-09-08,"4,504.38","140,102"
2011-09-09,"4,492.57","139,735"
2011-09-12,"4,386.05","136,421"
2011-09-13,"4,480.29","139,353"
2011-09-14,"4,453.65","138,524"
2011-09-15,"4,350.44","135,314"
2011-09-16,"4,404.02","136,980"
2011-09-19,"4,373.32","136,025"
2011-09-20,"4,438.69","138,059"
2011-09-21,"4,447.07","138,319"
2011-09-22,"4,400.17","136,861"
2011-09-23,"4,167.32","129,618"
2011-09-26,"4,154.45","129,218"
2011-09-27,"4,140.58","128,786"
2011-09-28,"4,073.67","126,705"
2011-09-29,"4,071.47","126,637"
2011-09-30,"4,008.03","124,664"
2011-10-03,"4,253.76","132,307"
2011-10-04,"4,061.09","126,314"
2011-10-05,"4,181.48","130,059"
2011-10-06,"4,165.50","129,562"
2011-10-07,"4,169.55","129,688"
2011-10-10,"4,201.87","130,693"
2011-10-11,"4,207.29","130,861"
2011-10-12,"4,216.24","131,140"
2011-10-13,"4,210.27","130,954"
2011-10-14,"4,209.35","130,925"
2011-10-17,"4,203.60","130,747"
2011-10-18,"4,201.62","130,685"
2011-10-19,"4,182.34","130,085"
2011-10-20,"4,162.51","129,469"
2011-10-21,"4,208.01","130,884"
2011-10-24,"4,221.70","131,310"
2011-10-25,"4,354.84","135,451"
2011-10-26,"4,394.68","136,690"
2011-10-27,"4,391.42","136,588"
2011-10-28,"4,377.15","136,145"
2011-10-31,"4,345.02","135,145"
2011-11-01,"4,352.53","135,379"
2011-11-02,"4,403.22","136,955"
2011-11-03,"4,455.22","138,573"
2011-11-04,"4,444.27","138,232"
2011-11-06,"4,433.55","137,899"
2011-11-07,"4,528.92","140,865"
2011-11-08,"4,523.24","140,689"
2011-11-09,"4,601.85","143,134"
2011-11-10,"4,494.05","139,781"
2011-11-11,"4,573.43","142,249"
2011-11-13,"4,558.53","141,786"
2011-11-14,"4,619.90","143,695"
2011-11-15,"4,652.55","144,711"
2011-11-16,"4,607.19","143,300"
2011-11-17,"4,499.63","139,954"
2011-11-18,"4,576.30","142,339"
2011-11-21,"4,486.52","139,546"
2011-11-22,"4,586.32","142,650"
2011-11-23,"4,574.75","142,291"
2011-11-24,"4,559.99","141,832"
2011-11-25,"4,537.25","141,124"
2011-11-27,"4,512.06","140,341"
2011-11-28,"4,595.75","142,944"
2011-11-29,"4,606.95","143,292"
2011-11-30,"4,666.02","145,129"
2011-12-01,"4,621.69","143,751"
2011-12-02,"4,637.81","144,252"
2011-12-05,"4,569.36","142,123"
2011-12-06,"4,550.73","141,544"
2011-12-07,"4,620.93","143,727"
2011-12-08,"4,555.56","141,694"
2011-12-09,"4,587.44","142,685"
2011-12-12,"4,558.64","141,790"
2011-12-13,"4,527.33","140,816"
2011-12-14,"4,369.40","135,904"
